="Testing Intent to Treat Effects - GTC Testing"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="GTC Test (Own)",="0.144***",="",="",="",=""
="",="(0.013)",="",="",="",=""
="GTC Test (0.5 miles)",="",="0.074***",="",="",=""
="",="",="(0.015)",="",="",=""
="GTC Test (<1 mile)",="",="",="0.055**",="",=""
="",="",="",="(0.025)",="",=""
="GTC Test (<2 miles)",="",="",="",="0.005",=""
="",="",="",="",="(0.070)",=""
="Mailed Test Strip (Treated)",="0.021*",="0.047**",="0.039",="-0.040",="0.030***"
="",="(0.012)",="(0.019)",="(0.035)",="(0.102)",="(0.010)"
="GTC Test (Own) + Treated",="0.031",="",="",="",=""
="",="(0.020)",="",="",="",=""
="GTC Test (0.5 miles) + Treated",="",="-0.025",="",="",=""
="",="",="(0.022)",="",="",=""
="GTC Test (<1 mile) + Treated",="",="",="-0.009",="",=""
="",="",="",="(0.036)",="",=""
="GTC Test (<2 miles) + Treated",="",="",="",="0.072",=""
="",="",="",="",="(0.103)",=""
="GTC Test (Own) + Treated + Hi Test",="-0.016",="",="",="",=""
="",="(0.029)",="",="",="",=""
="GTC Test (0.5 miles) + Treated + Hi Test",="",="0.012",="",="",=""
="",="",="(0.023)",="",="",=""
="GTC Test (<1 mile) + Treated + Hi Test",="",="",="0.001",="",=""
="",="",="",="(0.022)",="",=""
="GTC Test (<2 miles) + Treated + Hi Test",="",="",="",="-0.014",=""
="",="",="",="",="(0.024)",=""
="GTC Test (<5 miles) + Treated + Hi Test",="",="",="",="",="0.011"
="",="",="",="",="",="(0.032)"
="Constant",="0.045***",="0.045***",="0.049**",="0.095",="0.100***"
="",="(0.008)",="(0.013)",="(0.024)",="(0.069)",="(0.007)"
="Observations",="4541",="4541",="4541",="4541",="4541"
