="Testing Intent to Treat Effects - 1 Year"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="GTC Test (Own)",="0.169***",="",="",="",=""
="",="(0.019)",="",="",="",=""
="GTC Test (0.5 miles)",="",="0.081***",="",="",=""
="",="",="(0.021)",="",="",=""
="GTC Test (<1 mile)",="",="",="0.085**",="",=""
="",="",="",="(0.034)",="",=""
="GTC Test (<2 miles)",="",="",="",="0.099",=""
="",="",="",="",="(0.098)",=""
="Mailed Test Strip (Treated)",="0.266***",="0.249***",="0.271***",="0.294**",="0.238***"
="",="(0.017)",="(0.027)",="(0.048)",="(0.143)",="(0.013)"
="GTC Test (Own) + Treated",="-0.054*",="",="",="",=""
="",="(0.028)",="",="",="",=""
="GTC Test (0.5 miles) + Treated",="",="-0.009",="",="",=""
="",="",="(0.031)",="",="",=""
="GTC Test (<1 mile) + Treated",="",="",="-0.031",="",=""
="",="",="",="(0.051)",="",=""
="GTC Test (<2 miles) + Treated",="",="",="",="-0.052",=""
="",="",="",="",="(0.144)",=""
="GTC Test (Own) + Treated + Hi Test",="-0.068",="",="",="",=""
="",="(0.041)",="",="",="",=""
="GTC Test (0.5 miles) + Treated + Hi Test",="",="-0.043",="",="",=""
="",="",="(0.033)",="",="",=""
="GTC Test (<1 mile) + Treated + Hi Test",="",="",="-0.019",="",=""
="",="",="",="(0.030)",="",=""
="GTC Test (<2 miles) + Treated + Hi Test",="",="",="",="-0.021",=""
="",="",="",="",="(0.034)",=""
="GTC Test (<5 miles) + Treated + Hi Test",="",="",="",="",="0.040"
="",="",="",="",="",="(0.044)"
="Constant",="0.128***",="0.134***",="0.115***",="0.095",="0.194***"
="",="(0.012)",="(0.018)",="(0.033)",="(0.097)",="(0.009)"
="Observations",="4541",="4541",="4541",="4541",="4541"
